,Company,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacturing_year
0,Jeep,Compass 2.0 Longitude,1002999.9999999999,86226,Diesel,Manual,1st Owner,2017
1,Renault,Duster RXZ Turbo,1283000.0,13248,Petrol,Automatic,1st Owner,2021
2,Toyota,Camry 2.5 G,1639999.9999999998,60343,Petrol,Automatic,1st Owner,2016
3,Honda,Jazz VX CVT,777000.0,26696,Petrol,Automatic,1st Owner,2018
4,Volkswagen,Polo 1.2 MPI,515000.00000000006,69414,Petrol,Manual,1st Owner,2016
5,Volkswagen,Vento 1.2 TSI,766000.0,49719,Petrol,Automatic,1st Owner,2017
6,Volkswagen,Vento 1.2 TSI,758000.0,43688,Petrol,Automatic,1st Owner,2017
7,Honda,WR-V VX Diesel,1160000.0,14470,Diesel,Manual,1st Owner,2021
8,Honda,City i VTEC,699000.0,21429,Petrol,Automatic,1st Owner,2015
9,Renault,Duster Petrol RXS,753000.0,31750,Petrol,Automatic,1st Owner,2017
10,MarutiSuzuki,Baleno 1.2 Alpha,643000.0,38203,Petrol,Manual,1st Owner,2017
11,Honda,City i VTEC,543000.0,110284,Petrol,Automatic,1st Owner,2014
12,Mahindra,XUV300 W6,861999.9999999999,10381,Petrol,Manual,1st Owner,2020
13,Jeep,Compass 1.4 Limited,1678000.0,32378,Petrol,Automatic,1st Owner,2019
14,Honda,City V MT,1002999.9999999999,38906,Petrol,Manual,1st Owner,2020
15,Hyundai,Grand i10 AT,563000.0,59313,Petrol,Automatic,2nd Owner,2016
16,Hyundai,i20 1.4 Asta,667000.0,85672,Diesel,Manual,1st Owner,2017
17,MarutiSuzuki,Ciaz 1.4 Delta,673000.0,34971,Petrol,Manual,2nd Owner,2017
18,Nissan,Micra XL Optional,321000.0,35894,Petrol,Manual,2nd Owner,2015
19,MarutiSuzuki,Ciaz Alpha Automatic,850000.0,56000,Petrol,Automatic,1st Owner,2019
20,MarutiSuzuki,Swift Dzire VXI,434000.0,56568,Petrol,Manual,1st Owner,2014
21,Renault,KWID RXT,311000.0,48872,Petrol,Manual,1st Owner,2017
22,Renault,KWID RXL BSIV,370000.0,17346,Petrol,Manual,1st Owner,2019
23,Jeep,Compass 2.0 Limited,1588000.0,15414,Diesel,Manual,1st Owner,2019
